source_airport,destination_airport,Airline,Airline ID,Source airport ID,Destination airport ID,Codeshare,Stops,Equipment,Route,number_airport
AER,KZN,2B,410,2965,2990,,0,CR2,AER-KZN,17
ASF,KZN,2B,410,2966,2990,,0,CR2,ASF-KZN,7
ASF,MRV,2B,410,2966,2962,,0,CR2,ASF-MRV,7
CEK,KZN,2B,410,2968,2990,,0,CR2,CEK-KZN,14
CEK,OVB,2B,410,2968,4078,,0,CR2,CEK-OVB,14
DME,KZN,2B,410,4029,2990,,0,CR2,DME-KZN,189
DME,NBC,2B,410,4029,6969,,0,CR2,DME-NBC,189
DME,TGK,2B,410,4029,\N,,0,CR2,DME-TGK,189
DME,UUA,2B,410,4029,6160,,0,CR2,DME-UUA,189
EGO,KGD,2B,410,6156,2952,,0,CR2,EGO-KGD,9
EGO,KZN,2B,410,6156,2990,,0,CR2,EGO-KZN,9
GYD,NBC,2B,410,2922,6969,,0,CR2,GYD-NBC,39
KGD,EGO,2B,410,2952,6156,,0,CR2,KGD-EGO,10
KZN,AER,2B,410,2990,2965,,0,CR2,KZN-AER,21
KZN,ASF,2B,410,2990,2966,,0,CR2,KZN-ASF,21
KZN,CEK,2B,410,2990,2968,,0,CR2,KZN-CEK,21
KZN,DME,2B,410,2990,4029,,0,CR2,KZN-DME,21
KZN,EGO,2B,410,2990,6156,,0,CR2,KZN-EGO,21
KZN,LED,2B,410,2990,2948,,0,CR2,KZN-LED,21
KZN,SVX,2B,410,2990,2975,,0,CR2,KZN-SVX,21
LED,KZN,2B,410,2948,2990,,0,CR2,LED-KZN,110
LED,NBC,2B,410,2948,6969,,0,CR2,LED-NBC,110
LED,UUA,2B,410,2948,6160,,0,CR2,LED-UUA,110
MRV,ASF,2B,410,2962,2966,,0,CR2,MRV-ASF,16
NBC,DME,2B,410,6969,4029,,0,CR2,NBC-DME,7
NBC,GYD,2B,410,6969,2922,,0,CR2,NBC-GYD,7
NBC,LED,2B,410,6969,2948,,0,CR2,NBC-LED,7
